id_station;id_line;id_node;name_en;name_ru;lat;lon
1;1;1;Isolatorweg;Исолаторвег;52.3951590537;4.85092346755
2;1;2;Sloterdijk;Слотердейк;52.389011957;4.83889953937
3;1;3;De Vlugtlaan;Де Влюгтлан;52.3797481845;4.83829288015
4;1;4;Jan van Galenstraat;Ян ван Галенстрат;52.3726091568;4.83530558666
5;1;5;Postjesweg;Постьесвег;52.3647427131;4.83395426044
6;1;6;Lelylaan;Лелилан;52.3578854513;4.83436540863
7;1;7;Heemstedestraat;Хемстедестрат;52.3525203987;4.83432515636
8;1;8;Henk Sneevlietweg;Хенк Сневлитвег;52.3463445504;4.83449479092
9;1;9;Amstelveenseweg;Амстелвенсевег;52.3383918518;4.85759671894
10;5;10;Zuid;Зёйд;52.339245775;4.87393626554
11;5;11;RAI;РАЙ;52.3375178025;4.88973528166
12;5;12;Overamstel;Оверамстел;52.331709975;4.91764160566
13;6;13;Van der Madeweg;Ван дер Мадевег;52.3294443472;4.93053670798
14;7;14;Duivendrecht;Дёйвендрехт;52.3235330138;4.93657454854
15;7;15;Strandvliet;Страндвлит;52.3185388571;4.94135306806
16;7;16;Bijlmer ArenA;Бейлмер АренА;52.3122480023;4.94709764207
17;7;17;Bullewijk;Бюллевейк;52.3068110706;4.95208604843
18;7;18;Holendrecht;Холендрехт;52.2979210692;4.96020550639
19;7;19;Reigersbos;Рейгерсбос;52.2956065636;4.97418742002
20;7;20;Gein;Гейн;52.2963311045;4.98915551426
21;8;21;Centraal Station;Сентрал Статион;52.3773643875;4.90139693941
22;8;22;Nieuwmarkt;Ньивмаркт;52.3719901446;4.9013357268
23;8;23;Waterlooplein;Ватерлоплейн;52.3671488311;4.90191052168
24;8;24;Weesperplein;Весперплейн;52.361214222;4.9079488308
25;8;25;Wibautstraat;Вибаутстрат;52.3547018553;4.91193684065
26;8;26;Amstel;Амстел;52.3463035314;4.91765483141
27;8;27;Spaklerweg;Спаклервег;52.3407575353;4.92051580944
28;2;28;De Boelelaan/VU;Де Булелан/ВЮ;52.334097893;4.86885719574
29;2;29;A.J. Ernststraat;А.Й. Эрнстстрат;52.331101974;4.86889169768
30;2;30;Van Boshuizenstraat;Ван Босхёйзенстрат;52.3246932375;4.86901820482
31;2;31;Uilenstede;Эйленстеде;52.3214529298;4.86919358971
32;2;32;Kronenburg;Кроненбург;52.3162517614;4.87043853493
33;2;33;Zonnestein;Зоннестейн;52.3119160169;4.87237064391
34;2;34;Onderuit;Ондерёйт;52.3080431734;4.87252590266
35;2;35;Oranjebaan;Ораньебан;52.3031180206;4.87193361926
36;2;36;Amstelveen Centrum;Амстелвен Сентрум;52.3002227323;4.87005038804
37;2;37;Ouderkerkerlaan;Аудеркеркерлан;52.2964390189;4.86767262892
38;2;38;Sportlaan;Спортлан;52.2907749494;4.86412180365
39;2;39;Marne;Марне;52.2867497224;4.86124664148
40;2;40;Gondel;Гондел;52.2844524678;4.85930590701
41;2;41;Meent;Мент;52.2808700158;4.85702302825
42;2;42;Brink;Бринк;52.2806457531;4.85112319548
43;2;43;Poortwachter;Портвахтер;52.283279147;4.84505323418
44;2;44;Spinnerij;Спиннерей;52.2842972091;4.83771343913
45;2;45;Sacharovlaan;Сахаровлан;52.2819517856;4.83225367805
46;2;46;Westwijk;Вествейк;52.2748149242;4.83097118385
47;3;47;Venserpolder;Венсерполдер;52.3267746633;4.94636045049
48;3;48;Diemen Zuid;Димен Зёйд;52.3303264469;4.95667039867
49;3;49;Verrijn Stuartweg;Веррейн Стюартвег;52.3283811122;4.9671986675
50;3;50;Ganzenhoef;Ганзенхуф;52.3236562624;4.9730216376
51;3;51;Kraaiennest;Крайеннест;52.3169437171;4.97918675199
52;3;52;Gaasperplas;Гасперплас;52.311215244;4.98439386236
