id_station;id_line;id_node;name_en;name_ru;name_uk;lat;lon
1;1;1;Akademmistechko;Академгородок;Академмістечко;50.46478;30.3549603
2;1;2;Zhytomyrska;Житомирская;Житомирська;50.4561107;30.3658832
3;1;3;Sviatoshyn;Святошин;Святошин;50.4577952;30.3907927
4;1;4;Nyvky;Нивки;Нивки;50.4585929;30.4047792
5;1;5;Beresteiska;Берестейская;Берестейська;50.4590107;30.4193372
6;1;6;Shuliavska;Шулявская;Шулявська;50.4545175;30.4483131
7;1;7;Politekhnichnyi Instytut;Политехнический институт;Політехнічний інститут;50.4509153;30.4647171
8;1;8;Vokzalna;Вокзальная;Вокзальна;50.441158;30.4895924
9;1;9;Universytet;Университет;Університет;50.4427908;30.5039312
10;1;10;Teatralna;Театральная;Театральна;50.4445826;30.5160354
11;1;11;Khreshchatyk;Крещатик;Хрещатик;50.4471237;30.5253613
12;1;12;Arsenalna;Арсенальная;Арсенальна;50.4433309;30.5469529
13;1;13;Dnipro;Днепр;Дніпро;50.4412732;30.5595558
14;1;14;Hidropark;Гидропарк;Гідропарк;50.4459472;30.5770722
15;1;15;Livoberezhna;Левобережная;Лівобережна;50.4518078;30.5982082
16;1;16;Darnytsia;Дарница;Дарниця;50.4558251;30.6126853
17;1;17;Chernihivska;Черниговская;Чернігівська;50.4597701;30.6300696
18;1;18;Lisova;Лесная;Лісова;50.4647074;30.6460197
19;2;19;Heroiv Dnipra;Героев Днепра;Героїв Дніпра;50.5226713;30.498772
20;2;20;Minska;Минская;Мінська;50.5122216;30.4983658
21;2;21;Obolon;Оболонь;Оболонь;50.5015276;30.4979821
22;2;22;Petrivka;Петровка;Петрівка;50.4860911;30.4977637
23;2;23;Tarasa Shevchenka;Тараса Шевченко;Тараса Шевченка;50.4740301;30.5036226
24;2;24;Kontraktova Ploshcha;Контрактовая площадь;Контрактова площа;50.4657897;30.5149985
25;2;25;Poshtova Ploshcha;Почтовая площадь;Поштова площа;50.459317;30.5243316
26;2;11;Maidan Nezalezhnosti;Площадь Независимости;Майдан Незалежності;50.4482831;30.525115
27;2;26;Ploshcha Lva Tolstoho;Площадь Льва Толстого;Площа Льва Толстого;50.4403449;30.5183036
28;2;27;Olimpiiska;Олимпийская;Олімпійська;50.4311887;30.5167886
29;2;28;Palats Ukraina;Дворец Украина;Палац «Україна»;50.4213002;30.520719
30;2;29;Lybidska;Лыбедская;Либідська;50.4142407;30.5247732
31;2;30;Demiivska;Демиевская;Деміївська;50.404905;30.5167543
32;2;31;Holosiivska;Голосеевская;Голосіївська;50.3973894;30.5080439
33;2;32;Vasylkivska;Васильковская;Васильківська;50.3933846;30.4881744
34;2;33;Vystavkovyi Tsentr;Выставочный центр;Виставковий центр;50.3825154;30.4774772
35;2;34;Ipodrom;Ипподром;Іподром;50.3764871;30.4690921
36;2;35;Teremky;Теремки;Теремки;50.3670329;30.4541
37;3;36;Syrets;Сырец;Сирець;50.4764957;30.4326176
38;3;37;Dorohozhychi;Дорогожичи;Дорогожичі;50.4730058;30.4518224
39;3;38;Lukianivska;Лукьяновская;Лук'янівська;50.4612882;30.4836301
40;3;10;Zoloti Vorota;Золотые ворота;Золоті ворота;50.4460059;30.5157739
41;3;26;Palats Sportu;Дворец спорта;Палац спорту;50.4395247;30.5196568
42;3;39;Klovska;Кловская;Кловська;50.4356349;30.5333938
43;3;40;Pecherska;Печерская;Печерська;50.425777;30.541131
44;3;41;Druzhby Narodiv;Дружбы народов;Дружби народів;50.416619;30.5470878
45;3;42;Vydubychi;Выдубичи;Видубичі;50.4020218;30.5605663
46;3;43;Slavutych;Славутич;Славутич;50.3942927;30.6051607
47;3;44;Osokorky;Осокорки;Осокорки;50.3942927;30.6051607
48;3;45;Pozniaky;Позняки;Позняки;50.3980353;30.6347968
49;3;46;Kharkivska;Харьковская;Харківська;50.4007627;30.6522278
50;3;47;Vyrlytsia;Вырлица;Вирлиця;50.4030515;30.6678172
51;3;48;Boryspilska;Бориспольская;Бориспільська;50.4034791;30.6844109
52;3;49;Chervony Khutir;Красный хутор;Червоний хутір;50.4094302;30.6960023
